problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,800,14741,25.0,25.0,0.0,0.0,25,25,460.65625,458.0,4.209125071908382,17.71673387096774,456,465,1.0,1.0,1.0,1.0
Crossing Minimization,32,34972,91664,1092.875,1097.0,220.35510197801622,48556.37096774193,749,1461,2864.5,2873.0,152.7544941527776,23333.935483870966,2615,3119,0.99,0.99,0.99,0.99
Graceful Graphs,32,4928,17655,154.0,154.0,0.0,0.0,154,154,551.71875,552.0,2.0515041688572584,4.20866935483871,548,555,1.0,1.0,1.0,1.0
Graph Colouring,32,54872,87632,1714.75,1715.0,415.10193073897625,172309.61290322582,583,2225,2738.5,2710.0,302.85959698162276,91723.93548387097,1927,3118,1.0,1.0,1.0,1.0
Incremental Scheduling,32,56547,459274,1767.09375,1754.5,225.58273775397942,50887.571572580644,1534,2470,14352.3125,13469.0,1206.1739680199669,1454855.6411290322,13119,15933,0.83,0.83,0.98,0.9
Knight Tour,32,3240,33696,101.25,116.0,42.92980016183961,1842.967741935484,33,170,1053.0,1068.0,52.62895069838371,2769.8064516129034,969,1135,0.91,0.91,0.89,0.9
Knight Tour With Holes,32,4407,36184,137.71875,111.0,41.755227121110046,1743.498991935484,73,187,1130.75,1132.0,6.319452814205336,39.935483870967744,1108,1140,1.0,1.0,0.72,0.81
Labyrinth,32,151280,120357,4727.5,4061.0,2507.647991966357,6288298.451612903,766,9488,3761.15625,3781.0,133.41956846729792,17800.78125,3031,3801,1.0,1.0,0.92,0.93
Maximal Clique Problem,32,11040,38354,345.0,344.0,26.709911172422675,713.4193548387096,255,376,1198.5625,1203.0,14.615364209206074,213.60887096774192,1159,1221,1.0,1.0,0.99,1.0
Nomystery,32,19056,120935,595.5,581.0,50.77718563139514,2578.3225806451615,501,701,3779.21875,3830.0,140.40901872857947,19714.69254032258,3525,3940,1.0,1.0,0.91,0.95
Partner Units,32,15408,59899,481.5,474.0,32.4285815789992,1051.6129032258063,474,654,1871.84375,1868.0,14.721302044009821,216.71673387096774,1865,1946,1.0,1.0,1.0,1.0
Permutation Pattern Matching,32,11273,66580,352.28125,334.0,54.276017620213054,2945.8860887096776,316,586,2080.625,2082.5,35.86061726975348,1285.983870967742,2003,2153,0.95,0.95,0.99,0.96
Ricochet Robots,32,11891,116944,371.59375,361.0,30.89614171026287,954.5715725806451,361,466,3654.5,3647.0,36.65444566620499,1343.5483870967741,3607,3752,0.95,0.95,0.68,0.79
Sokoban,32,35165,263697,1098.90625,1061.0,119.70025989003506,14328.152217741936,952,1403,8240.53125,8161.5,374.0407933915333,139906.51512096773,7833,9336,0.91,0.91,0.99,0.95
Stable Marriage,32,13392,47522,418.5,423.5,20.202203648564296,408.1290322580645,384,439,1485.0625,1483.0,9.96101270923536,99.22177419354838,1459,1505,0.96,0.96,0.92,0.94
Valves Location Problem,32,16897,149032,528.03125,519.5,72.4927068078064,5255.1925403225805,416,683,4657.25,4652.0,68.01470429252781,4626.0,4529,4805,0.87,0.87,0.82,0.84
